RegionID,RegionName,state_name,2020-10,2020-11,2020-12,2021-01
394913,New York, NY,2643,2619,2595,2572
753899,Los Angeles-Long Beach-Anaheim, CA,2545,2544,2542,2541
394463,Chicago, IL,1740,1735,1731,1726
394514,Dallas-Fort Worth, TX,1566,1569,1572,1575
394974,Philadelphia, PA,1617,1620,1623,1626
394692,Houston, TX,1460,1460,1461,1461
395209,Washington, DC,2080,2074,2068,2061
394856,Miami-Fort Lauderdale, FL,1941,1945,1948,1952
394347,Atlanta, GA,1610,1618,1626,1634
394404,Boston, MA,2335,2321,2307,2293
395057,San Francisco, CA,3024,2998,2972,2946
394532,Detroit, MI,1324,1331,1338,1345
395025,Riverside, CA,2138,2155,2172,2189
394976,Phoenix, AZ,1519,1530,1541,1552
395078,Seattle, WA,1942,1933,1924,1915
394865,Minneapolis-St Paul, MN,1558,1559,1560,1561
395056,San Diego, CA,2359,2368,2376,2385
395121,St. Louis, MO,1155,1159,1163,1167
395148,Tampa, FL,1563,1572,1581,1590
394358,Baltimore, MD,1696,1700,1704,1707
394530,Denver, CO,1744,1744,1745,1745
394982,Pittsburgh, PA,1190,1192,1194,1196
394998,Portland, OR,1660,1663,1665,1667
394458,Charlotte, NC,1530,1534,1539,1543
395045,Sacramento, CA,1887,1898,1910,1922
395055,San Antonio, TX,1328,1330,1333,1335
394943,Orlando, FL,1622,1625,1627,1630
394466,Cincinnati, OH,1291,1297,1302,1308
394475,Cleveland, OH,1174,1178,1182,1187
394735,Kansas City, MO,1217,1222,1227,1232
394775,Las Vegas, NV,1443,1452,1461,1470
394492,Columbus, OH,1320,1326,1333,1339
394705,Indianapolis, IN,1314,1321,1329,1336
395059,San Jose, CA,2998,2977,2956,2935
394355,Austin, TX,1518,1517,1515,1514
395194,Virginia Beach, VA,1393,1401,1408,1415
394902,Nashville, TN,1620,1622,1624,1626
395005,Providence, RI,1588,1599,1610,1621
394862,Milwaukee, WI,1172,1175,1177,1180
394714,Jacksonville, FL,1379,1386,1392,1399
394849,Memphis, TN,1392,1402,1412,1423
394935,Oklahoma City, OK,1105,1108,1112,1116
394807,Louisville-Jefferson County, KY,1053,1057,1061,1065
394669,Hartford, CT,1409,1415,1421,1428
395022,Richmond, VA,1335,1339,1344,1348
394910,New Orleans, LA,1270,1274,1277,1281
394425,Buffalo, NY,1176,1181,1185,1190
395012,Raleigh, NC,1520,1524,1528,1532
394388,Birmingham, AL,1157,1162,1168,1173
395053,Salt Lake City, UT,1434,1439,1443,1448
395031,Rochester, NY,1221,1228,1235,1242
394640,Grand Rapids, MI,1279,1284,1289,1294
395167,Tucson, AZ,1296,1305,1315,1325
753924,Urban Honolulu, HI,2155,2158,2161,2164
395169,Tulsa, OK,1153,1158,1163,1168
394619,Fresno, CA,1606,1615,1625,1634
395238,Worcester, MA,1476,1483,1490,1497
394415,Stamford, CT,2186,2197,2208,2219
394312,Albuquerque, NM,1226,1234,1241,1249
394308,Albany, NY,1274,1277,1280,1284
394938,Omaha, NE,1245,1249,1254,1258
394908,New Haven, CT,1493,1500,1506,1513
394357,Bakersfield, CA,1337,1347,1356,1365
394753,Knoxville, TN,1364,1373,1382,1391
394653,Greenville, SC,1285,1289,1292,1296
394952,Ventura, CA,2759,2772,2785,2798
394318,Allentown, PA,1457,1467,1477,1487
394561,El Paso, TX,1153,1159,1165,1172
394367,Baton Rouge, LA,1214,1217,1221,1224
394521,Dayton, OH,1040,1045,1050,1055
394486,Columbia, SC,1188,1194,1200,1205
394648,Greensboro, NC,1299,1307,1315,1323
394304,Akron, OH,941,945,950,954
753906,North Port-Sarasota-Bradenton, FL,1906,1915,1924,1933
394798,Little Rock, AR,932,937,941,945
395134,Stockton, CA,2135,2149,2164,2178
394457,Charleston, SC,1553,1558,1563,1568
395143,Syracuse, NY,1117,1123,1130,1136
394484,Colorado Springs, CO,1586,1594,1602,1611
395235,Winston-Salem, NC,1294,1300,1307,1313
395224,Wichita, KS,846,848,851,853
395115,Springfield, MA,1473,1479,1484,1490
394440,Fort Myers, FL,1701,1708,1715,1723
394399,Boise City, ID,1386,1399,1411,1423
395160,Toledo, OH,949,955,960,965
394816,Madison, WI,1346,1350,1353,1357
394766,Lakeland, FL,1472,1480,1488,1496
394931,Ogden, UT,1374,1380,1386,1391
394528,Daytona Beach, FL,1460,1467,1475,1482
394531,Des Moines, IA,1181,1183,1186,1189
394711,Jackson, MS,1295,1298,1301,1304
395245,Youngstown, OH,726,730,734,738
394352,Augusta, GA,1145,1152,1159,1167
395075,Scranton, PA,947,951,956,960
394666,Harrisburg, PA,1199,1203,1208,1212
394957,Melbourne, FL,1525,1532,1540,1547
394460,Chattanooga, TN,1276,1281,1287,1292
395113,Spokane, WA,1347,1357,1368,1379
395006,Provo, UT,1357,1364,1371,1378
394549,Durham, NC,1442,1447,1451,1456
394995,Port St. Lucie, FL,1790,1801,1813,1824
394602,Fort Collins, CO,1616,1620,1624,1628
394405,Boulder, CO,1993,1998,2002,2007
394645,Greeley, CO,1693,1698,1703,1708
394623,Gainesville, GA,1434,1442,1450,1458
394623,Gainesville, GA,1434,1442,1450,1458
